date,sig,hold,rv_net10y_man_per_bp,ktb10f_contracts
2020-06-03,-1.5,21,0.0,-0.0
2020-06-04,-1.5,21,0.0,-0.0
2020-06-05,-1.5,21,0.0,-0.0
2020-06-08,-1.0,3,0.0,-0.0
2020-06-09,-1.0,3,0.0,-0.0
2020-06-10,-1.0,3,0.0,-0.0
2020-06-11,-1.0,3,0.0,-0.0
2020-06-15,-0.4,3,0.0,-0.0
2020-06-29,-1.0,3,0.0,-0.0
2020-07-01,-0.4,3,0.0,-0.0
2020-07-02,-1.0,3,0.0,-0.0
2020-07-03,-1.0,3,0.0,-0.0
2020-07-06,-1.0,3,0.0,-0.0
2020-07-07,-1.0,3,0.0,-0.0
2020-07-09,-1.0,3,0.0,-0.0
2020-07-10,-0.4,3,0.0,-0.0
2020-07-28,-1.0,3,0.0,-0.0
2020-08-13,-1.0,3,0.0,-0.0
2020-08-14,-1.0,3,0.0,-0.0
2020-08-18,-1.0,3,0.0,-0.0
2020-08-19,-1.0,3,0.0,-0.0
2020-08-20,-0.4,3,0.0,-0.0
2020-08-21,-0.4,3,0.0,-0.0
2020-08-26,-0.7,21,0.0,-0.0
2020-08-27,-1.5,21,0.0,-0.0
2020-08-28,-1.5,21,0.0,-0.0
2020-08-31,-1.0,3,0.0,-0.0
2020-09-01,-1.0,3,0.0,-0.0
2020-09-02,-1.0,3,0.0,-0.0
2020-09-03,-0.4,3,0.0,-0.0
2020-09-04,-0.4,3,0.0,-0.0
2020-09-07,-0.4,3,0.0,-0.0
2020-09-08,-0.4,3,0.0,-0.0
2020-09-09,-0.4,3,0.0,-0.0
2020-09-10,-1.0,3,0.0,-0.0
2020-09-11,-1.0,3,0.0,-0.0
2020-10-05,-1.0,3,0.0,-0.0
2020-10-06,-1.0,3,0.0,-0.0
2020-10-08,-1.0,3,0.0,-0.0
2020-10-12,-1.0,3,0.0,-0.0
2020-10-13,-1.0,3,0.0,-0.0
2020-10-14,-1.0,3,0.0,-0.0
2020-10-15,-1.0,3,0.0,-0.0
2020-10-16,-1.0,3,0.0,-0.0
2020-10-22,-1.5,21,0.0,-0.0
2020-10-26,-1.5,21,0.0,-0.0
2020-10-27,-1.5,21,0.0,-0.0
2020-10-30,-0.4,3,0.0,-0.0
2020-11-02,-0.7,21,0.0,-0.0
2020-11-03,-0.4,3,0.0,-0.0
2020-11-04,-0.4,3,0.0,-0.0
2020-11-05,-1.5,21,0.0,-0.0
2020-11-11,-1.0,3,0.0,-0.0
2020-11-12,-1.5,21,0.0,-0.0
2020-11-13,-1.0,3,0.0,-0.0
2020-11-16,-1.5,21,0.0,-0.0
2020-11-17,-1.0,3,0.0,-0.0
2020-11-18,-1.0,3,0.0,-0.0
2020-11-25,-0.4,3,0.0,-0.0
2020-11-26,-1.0,3,0.0,-0.0
2020-11-27,-1.0,3,0.0,-0.0
2020-11-30,-1.0,3,0.0,-0.0
2020-12-01,-1.0,3,0.0,-0.0
2020-12-02,-1.0,3,0.0,-0.0
2020-12-03,-1.0,3,0.0,-0.0
2020-12-04,-1.0,3,0.0,-0.0
2020-12-07,-1.5,21,0.0,-0.0
2020-12-08,-1.5,21,0.0,-0.0
2020-12-09,-1.5,21,0.0,-0.0
2020-12-10,-1.5,21,0.0,-0.0
2020-12-11,-0.4,3,0.0,-0.0
2020-12-14,-0.4,3,0.0,-0.0
2020-12-15,-0.4,3,0.0,-0.0
2020-12-16,-0.4,3,0.0,-0.0
2020-12-17,-0.4,3,0.0,-0.0
2020-12-18,-0.4,3,0.0,-0.0
2020-12-21,-0.4,3,0.0,-0.0
2020-12-22,-0.4,3,0.0,-0.0
2020-12-30,-1.0,3,0.0,-0.0
2021-01-04,-1.0,3,0.0,-0.0
2021-01-06,-1.0,3,0.0,-0.0
2021-01-07,-1.0,3,0.0,-0.0
2021-01-08,-0.7,21,0.0,-0.0
2021-01-11,-0.7,21,0.0,-0.0
2021-01-12,-0.7,21,0.0,-0.0
2021-01-13,-0.7,21,0.0,-0.0
2021-01-14,-0.7,21,0.0,-0.0
2021-01-15,-0.7,21,0.0,-0.0
2021-01-18,-0.7,21,0.0,-0.0
2021-01-19,-0.7,21,0.0,-0.0
2021-02-04,-1.0,3,0.0,-0.0
2021-02-08,-0.4,3,0.0,-0.0
